booking_id,arrival_date,departure_date,category,house_id,guest_name,phone,adults,children,payment_status,group_id,start_token,note
R048,2026-09-28,2026-09-29,Учебный домик,H048,Учебный гость 048,,2,0,first_night_paid,,DEMO-ONLY-R048,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R049,2026-09-26,2026-09-27,Учебный домик,H049,Учебный гость 049,,2,0,first_night_paid,,DEMO-ONLY-R049,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R050,2026-09-27,2026-09-28,Учебный домик,H050,Учебный гость 050,,2,0,first_night_paid,,DEMO-ONLY-R050,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R051,2026-09-28,2026-09-29,Учебный домик,H051,Учебный гость 051,,2,0,first_night_paid,,DEMO-ONLY-R051,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R052,2026-09-26,2026-09-27,Учебный домик,H052,Учебный гость 052,,2,0,first_night_paid,,DEMO-ONLY-R052,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R053,2026-09-27,2026-09-28,Учебный домик,H053,Учебный гость 053,,2,0,first_night_paid,,DEMO-ONLY-R053,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R054,2026-09-28,2026-09-29,Учебный домик,H054,Учебный гость 054,,2,0,first_night_paid,,DEMO-ONLY-R054,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R055,2026-09-26,2026-09-27,Учебный домик,H055,Учебный гость 055,,2,0,first_night_paid,,DEMO-ONLY-R055,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R056,2026-09-27,2026-09-28,Учебный домик,H056,Учебный гость 056,,2,0,first_night_paid,,DEMO-ONLY-R056,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R057,2026-09-28,2026-09-29,Учебный домик,H057,Учебный гость 057,,2,0,first_night_paid,,DEMO-ONLY-R057,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R058,2026-09-26,2026-09-27,Учебный домик,H058,Учебный гость 058,,2,0,first_night_paid,,DEMO-ONLY-R058,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R059,2026-09-27,2026-09-28,Учебный домик,H059,Учебный гость 059,,2,0,first_night_paid,,DEMO-ONLY-R059,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R060,2026-09-28,2026-09-29,Учебный домик,H060,Учебный гость 060,,2,0,first_night_paid,,DEMO-ONLY-R060,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R061,2026-09-26,2026-09-27,Учебный домик,H061,Учебный гость 061,,2,0,first_night_paid,,DEMO-ONLY-R061,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R062,2026-09-27,2026-09-28,Учебный домик,H062,Учебный гость 062,,2,0,first_night_paid,,DEMO-ONLY-R062,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R063,2026-09-28,2026-09-29,Учебный домик,H063,Учебный гость 063,,2,0,first_night_paid,,DEMO-ONLY-R063,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R064,2026-09-26,2026-09-27,Учебный домик,H064,Учебный гость 064,,2,0,first_night_paid,,DEMO-ONLY-R064,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R065,2026-09-27,2026-09-28,Учебный домик,H065,Учебный гость 065,,2,0,first_night_paid,,DEMO-ONLY-R065,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R066,2026-09-28,2026-09-29,Учебный домик,H066,Учебный гость 066,,2,0,first_night_paid,,DEMO-ONLY-R066,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R067,2026-09-26,2026-09-27,Учебный домик,H067,Учебный гость 067,,2,0,first_night_paid,,DEMO-ONLY-R067,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R068,2026-09-27,2026-09-28,Учебный домик,H068,Учебный гость 068,,2,0,first_night_paid,,DEMO-ONLY-R068,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R069,2026-09-28,2026-09-29,Учебный домик,H069,Учебный гость 069,,2,0,first_night_paid,,DEMO-ONLY-R069,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R070,2026-09-26,2026-09-27,Учебный домик,H070,Учебный гость 070,,2,0,first_night_paid,,DEMO-ONLY-R070,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R071,2026-09-27,2026-09-28,Учебный домик,H071,Учебный гость 071,,2,0,first_night_paid,,DEMO-ONLY-R071,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R072,2026-09-28,2026-09-29,Учебный домик,H072,Учебный гость 072,,2,0,first_night_paid,,DEMO-ONLY-R072,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R073,2026-09-26,2026-09-27,Учебный домик,H073,Учебный гость 073,,2,0,first_night_paid,,DEMO-ONLY-R073,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R074,2026-09-27,2026-09-28,Учебный домик,H074,Учебный гость 074,,2,0,first_night_paid,,DEMO-ONLY-R074,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R075,2026-09-28,2026-09-29,Учебный домик,H075,Учебный гость 075,,2,0,first_night_paid,,DEMO-ONLY-R075,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R076,2026-09-26,2026-09-27,Учебный домик,H076,Учебный гость 076,,2,0,first_night_paid,,DEMO-ONLY-R076,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R077,2026-09-27,2026-09-28,Учебный домик,H077,Учебный гость 077,,2,0,first_night_paid,,DEMO-ONLY-R077,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R078,2026-09-28,2026-09-29,Учебный домик,H078,Учебный гость 078,,2,0,first_night_paid,,DEMO-ONLY-R078,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R079,2026-09-26,2026-09-27,Учебный домик,H079,Учебный гость 079,,2,0,first_night_paid,,DEMO-ONLY-R079,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R080,2026-09-27,2026-09-28,Учебный домик,H080,Учебный гость 080,,2,0,first_night_paid,,DEMO-ONLY-R080,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R081,2026-09-28,2026-09-29,Учебный домик,H081,Учебный гость 081,,2,0,first_night_paid,,DEMO-ONLY-R081,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R082,2026-09-26,2026-09-27,Учебный домик,H082,Учебный гость 082,,2,0,first_night_paid,,DEMO-ONLY-R082,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R083,2026-09-27,2026-09-28,Учебный домик,H083,Учебный гость 083,,2,0,first_night_paid,,DEMO-ONLY-R083,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R084,2026-09-28,2026-09-29,Учебный домик,H084,Учебный гость 084,,2,0,first_night_paid,,DEMO-ONLY-R084,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R085,2026-09-26,2026-09-27,Учебный домик,H085,Учебный гость 085,,2,0,first_night_paid,,DEMO-ONLY-R085,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R086,2026-09-27,2026-09-28,Учебный домик,H086,Учебный гость 086,,2,0,first_night_paid,,DEMO-ONLY-R086,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R087,2026-09-28,2026-09-29,Учебный домик,H087,Учебный гость 087,,2,0,first_night_paid,,DEMO-ONLY-R087,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R088,2026-09-26,2026-09-27,Учебный домик,H088,Учебный гость 088,,2,0,first_night_paid,,DEMO-ONLY-R088,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R089,2026-09-27,2026-09-28,Учебный домик,H089,Учебный гость 089,,2,0,first_night_paid,,DEMO-ONLY-R089,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R090,2026-09-28,2026-09-29,Учебный домик,H090,Учебный гость 090,,2,0,first_night_paid,,DEMO-ONLY-R090,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R091,2026-09-26,2026-09-27,Учебный домик,H091,Учебный гость 091,,2,0,first_night_paid,,DEMO-ONLY-R091,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R092,2026-09-27,2026-09-28,Учебный домик,H092,Учебный гость 092,,2,0,first_night_paid,,DEMO-ONLY-R092,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R093,2026-09-28,2026-09-29,Учебный домик,H093,Учебный гость 093,,2,0,first_night_paid,,DEMO-ONLY-R093,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R094,2026-09-26,2026-09-27,Учебный домик,H094,Учебный гость 094,,2,0,first_night_paid,,DEMO-ONLY-R094,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R095,2026-09-27,2026-09-28,Учебный домик,H095,Учебный гость 095,,2,0,first_night_paid,,DEMO-ONLY-R095,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R096,2026-09-28,2026-09-29,Учебный домик,H096,Учебный гость 096,,2,0,first_night_paid,,DEMO-ONLY-R096,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R097,2026-09-26,2026-09-27,Учебный домик,H097,Учебный гость 097,,2,0,first_night_paid,,DEMO-ONLY-R097,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R098,2026-09-27,2026-09-28,Учебный домик,H098,Учебный гость 098,,2,0,first_night_paid,,DEMO-ONLY-R098,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R099,2026-09-28,2026-09-29,Учебный домик,H099,Учебный гость 099,,2,0,first_night_paid,,DEMO-ONLY-R099,Синтетическая бронь; номера домиков не соответствуют реальному объекту
R100,2026-09-26,2026-09-27,Учебный домик,H100,Учебный гость 100,,2,0,first_night_paid,,DEMO-ONLY-R100,Синтетическая бронь; номера домиков не соответствуют реальному объекту
